1,Bob Duncan Center,2800 S Center Street,Arlington,76014
2,Elzie Odom Athletic Center,1601 NE Green Oaks Boulevard,Arlington,76006
3,"Center for Community ServiceJunior League of Arlington",4002 W Pioneer Parkway,Arlington,76013
4,City of Arlington South Service Center,1100 SW Green Oaks Boulevard,Arlington,76017
5,Tarrant County Sub‐Courthouse in Arlington,700 E Abram Street,Arlington,76010
6,"Tarrant County College Southeast CampusEMB ‐  Portable Building (edificio móvil)(Nhà Di Động) C",2100 Southeast Parkway,Arlington,76018
7,"University of Texas at ArlingtonMaverick Activities Center",500 W Nedderman Drive,Arlington,76019
8,B. J. Clark Building,601 Southeast Parkway,Azle,76020
9,Bedford Public Library,2424 Forest Ridge Drive,Bedford,76021
10,Benbrook Community Center,228 San Angelo Avenue,Benbrook,76126
11,Colleyville Public Library,110 Main Street,Colleyville,76034
12,Crouch Event Center in Bicentennial Park,900 E Glendale Street,Crowley,76036
13,Euless Family Life Senior Center,300 W Midway Drive,Euless,76039
14,Forest Hill Civic and Convention Center,6901 Wichita Street,Forest Hill,76140
15,Diamond Hill‐Jarvis Branch Library,1300 NE 35th Street,Fort Worth,76106
16,Griffin‐Poly Sub‐Courthouse,3212 Miller Avenue,Fort Worth,76119
17,Handley‐Meadowbrook Community Center,6201 Beaty Street,Fort Worth,76112
18,James Avenue Service Center,5001 James Avenue,Fort Worth,76115
19,"JPS Health Center Viola M. Pitts/ComoLower Level (Nivel Inferior) (Lầu Dưới ) #100",4701 Bryant Irvin Road N,Fort Worth,76107
20,Northside Community Center,1100 NW 18th Street,Fort Worth,76164
21,Southside Community Center,959 E Rosedale Street,Fort Worth,76104
22,Southwest Community Center,6300 Welch Avenue,Fort Worth,76133
23,Southwest Regional Library,4001 Library Lane,Fort Worth,76109
24,Southwest Sub‐Courthouse,6551 Granbury Road,Fort Worth,76133
25,"Southwestern Baptist Theological SeminaryNaylor Student Center",1900 W Boyce Avenue,Fort Worth,76115
26,Summerglen Branch Library,4205 Basswood Boulevard,Fort Worth,76137
27,"Tarrant County College Northwest CampusWFSC 1403A",4801 Marine Creek Parkway,Fort Worth,76179
28,"Tarrant County College South CampusStudent Center SSTU 1112",5301 Campus Drive,Fort Worth,76119
29,Tarrant County College Trinity River Campus,300 Trinity Campus Circle,Fort Worth,76102
30,"Tarrant County Elections CenterMain Early Voting Site(Principal sitio de votación adelantada)(Trung Tâm Bầu Cử Sớm)",2700 Premier Street,Fort Worth,76111
31,Tarrant County Plaza Building,201 Burnett Street,Fort Worth,76102
32,"Texas Wesleyan UniversityBaker Building",3021 E Rosedale Street,Fort Worth,76105
33,"UNT – Health Science CenterCarl E. Everett Education and Administration BuildingLower Level ‐ Atrium",3500 Camp Bowie Boulevard,Fort Worth,76107
34,Villages of Woodland Springs Amenity Building,12209 Timberland Boulevard,Fort Worth,76244
35,Worth Heights Community Center,3551 New York Avenue,Fort Worth,76110
36,Asia Times Square,2625 W Pioneer Parkway,Grand Prairie,75051
37,The REC of Grapevine,1175 Municipal Way,Grapevine,76051
38,Haltom City Northeast Center,3201 Friendly Lane,Haltom City,76117
39,Former Haslet Elementary School,501 School House Road,Haslet,76052
40,Brookside Convention Center,1244 Brookside Drive,Hurst,76053
41,Northeast Courthouse,645 Grapevine Highway,Hurst,76054
42,"Tarrant County College Northeast CampusStudent Center NSTU",828 W Harwood Road,Hurst,76054
43,Keller Town Hall,1100 Bear Creek Parkway,Keller,76248
44,Kennedale Community Center,316 W 3rd Street,Kennedale,76060
45,Sheriff’s Office North Patrol Division,6651 Lake Worth Boulevard,Lake Worth,76135
46,Mansfield Sub‐Courthouse,1100 E Broad Street,Mansfield,76063
47,Dan Echols Center,6801 Glenview Drive,N Richland Hills,76180
48,"Eagle Mountain‐Saginaw ISD Admin. Bldg.Building (Edificio) (Căn số) 6 – Training Room(Sala de entrenamiento) (Phòng Tập Luyện)",1200 N Old Decatur Road,Saginaw,76179
49,Southlake Town Hall,1400 Main Street,Southlake,76092
50,White Settlement Public Library,8215 White Settlement Road,White Settlement,76108
